student,glasses,english,statsofar,love_htcm,smoke,h_left,h_right,handedness,statfuture,haircut,lecture,alone,height_in,hand_span,favcolor,lastsleep,pulse,sex,ageguess,year,lovetrueage,lovetrueht
202014,n,y,NA,NA,1,NA,NA,NA,5,0,3,2,68,NA,blue,2,NA,NA,NA,2020,53.5,NA
202015,y,y,NA,NA,1,NA,NA,NA,5,0,3,3,64,NA,blue,8,NA,NA,NA,2020,53.5,NA
202016,y,y,NA,NA,1,NA,NA,NA,7,130,2,5,70,NA,purple,9,NA,NA,NA,2020,53.5,NA
202017,n,n,NA,NA,1,NA,NA,NA,6,25,3,2,67,NA,baby blue,6,NA,NA,NA,2020,53.5,NA
202018,y,y,NA,NA,1,NA,NA,NA,6,50,3,3,62,NA,green,5,NA,NA,NA,2020,53.5,NA
202019,y,y,NA,NA,1,NA,NA,NA,7,35,5,5,66,NA,red,7,NA,NA,NA,2020,53.5,NA
202020,y,y,NA,NA,1,NA,NA,NA,7,35,2,2,67,NA,blue,5,NA,NA,NA,2020,53.5,NA
202021,y,y,NA,NA,1,NA,NA,NA,6,0,4,3,65,NA,purple,6,NA,NA,NA,2020,53.5,NA
202022,y,y,NA,NA,1,NA,NA,NA,7,0,4,3,62,NA,blue,7,NA,NA,NA,2020,53.5,NA
202023,y,y,NA,NA,1,NA,NA,NA,6,0,3,3,69,NA,turquoise,6.5,NA,NA,NA,2020,53.5,NA
202024,y,y,NA,NA,1,NA,NA,NA,7,65,5,3,67,NA,purple,6,NA,NA,NA,2020,53.5,NA
202025,n,y,NA,NA,1,NA,NA,NA,6,30,1,2,76,NA,blue,9,NA,NA,NA,2020,53.5,NA
202026,y,y,NA,NA,1,NA,NA,NA,6,20,3,2,74,NA,red,8,NA,NA,NA,2020,53.5,NA
202027,y,y,NA,NA,1,NA,NA,NA,6,50,3,2,59,NA,navy,9,NA,NA,NA,2020,53.5,NA
202028,y,y,NA,NA,2,NA,NA,NA,6,45,4,2,62,NA,brown,8.5,NA,NA,NA,2020,53.5,NA
202029,y,n,NA,NA,1,NA,NA,NA,7,25,3,3,72,NA,brown,6,NA,NA,NA,2020,53.5,NA
202030,y,y,NA,NA,1,NA,NA,NA,7,60,3,5,62,NA,blue,8,NA,NA,NA,2020,53.5,NA
202031,y,n,NA,NA,1,NA,NA,NA,7,40,4,2,63,NA,orange,5,NA,NA,NA,2020,53.5,NA
202032,n,y,NA,NA,1,NA,NA,NA,5,100,2,2,65,NA,red,6,NA,NA,NA,2020,53.5,NA
202033,y,y,NA,NA,1,NA,NA,NA,6,0,4,4,68,NA,blue,8.5,NA,NA,NA,2020,53.5,NA
202034,y,y,NA,NA,1,NA,NA,NA,6,20,3,4,75,NA,navy,6,NA,NA,NA,2020,53.5,NA
202035,y,n,NA,NA,1,NA,NA,NA,5,8,3,1,74,NA,black,11,NA,NA,NA,2020,53.5,NA
202036,n,y,NA,NA,1,NA,NA,NA,6,27,3,5,68,NA,light blue,7.5,NA,NA,NA,2020,53.5,NA
202037,y,y,NA,NA,1,NA,NA,NA,6,0,3,3,70,NA,purple,6.5,NA,NA,NA,2020,53.5,NA
202038,y,y,NA,NA,1,NA,NA,NA,5,0,2,3,65,NA,purple,8,NA,NA,NA,2020,53.5,NA
202039,y,y,NA,NA,1,NA,NA,NA,6,30,1,3,64,NA,green,7.3,NA,NA,NA,2020,53.5,NA
202040,y,y,NA,NA,1,NA,NA,NA,4,60,1,1,62,NA,pink,6,NA,NA,NA,2020,53.5,NA
202041,y,y,NA,NA,1,NA,NA,NA,7,38,5,5,68,NA,red,7,NA,NA,NA,2020,53.5,NA
202042,y,y,NA,NA,1,NA,NA,NA,6,0,4,4,65,NA,orange,9,NA,NA,NA,2020,53.5,NA
202043,n,y,NA,NA,1,NA,NA,NA,6,0,1,1,65,NA,orange,4,NA,NA,NA,2020,53.5,NA
202044,y,y,NA,NA,1,NA,NA,NA,7,15,2,1,65,NA,orange,4,NA,NA,NA,2020,53.5,NA
202045,n,y,NA,NA,1,NA,NA,NA,7,0,3,3,63,NA,burgundy,5,NA,NA,NA,2020,53.5,NA
202046,y,y,NA,NA,1,NA,NA,NA,7,0,3,1,72,NA,red,4,NA,NA,NA,2020,53.5,NA
202047,n,n,NA,NA,1,NA,NA,NA,6,20,3,3,64,NA,black,7,NA,NA,NA,2020,53.5,NA
202048,n,y,NA,NA,1,NA,NA,NA,6,13,3,2,66,NA,blue,7,NA,NA,NA,2020,53.5,NA
202049,y,y,NA,NA,1,NA,NA,NA,7,60,5,4,61,NA,red,4,NA,NA,NA,2020,53.5,NA
202050,n,y,NA,NA,1,NA,NA,NA,6,NA,1,NA,60,NA,blue,5,NA,NA,NA,2020,53.5,NA
202051,y,y,NA,NA,1,NA,NA,NA,7,50,4,4,62,NA,blue,7,NA,NA,NA,2020,53.5,NA
202052,y,y,NA,NA,1,NA,NA,NA,7,15,3,2,69,NA,red,5,NA,NA,NA,2020,53.5,NA
202053,y,y,NA,NA,1,NA,NA,NA,7,20,2,3,70,NA,blue,5,NA,NA,NA,2020,53.5,NA
202054,y,n,NA,NA,1,NA,NA,NA,6,65,3,1,62,NA,blue,3,NA,NA,NA,2020,53.5,NA
202055,y,y,NA,NA,1,NA,NA,NA,7,25,5,5,71,NA,gray,6.5,NA,NA,NA,2020,53.5,NA
202056,y,y,NA,NA,1,NA,NA,NA,7,30,3,3,66,NA,blue,8,NA,NA,NA,2020,53.5,NA
202057,y,y,NA,NA,1,NA,NA,NA,6,80,2,3,68,NA,blue,7,NA,NA,NA,2020,53.5,NA
202058,y,n,NA,NA,1,NA,NA,NA,6,5,3,3,70,NA,white,6,NA,NA,NA,2020,53.5,NA
202059,y,y,NA,NA,1,NA,NA,NA,7,45,1,1,62,NA,blue,6.5,NA,NA,NA,2020,53.5,NA
202060,y,y,NA,NA,1,NA,NA,NA,6,35,3,4,67,NA,purple,7.5,NA,NA,NA,2020,53.5,NA
202061,n,n,NA,NA,1,NA,NA,NA,4,0,2,2,61,NA,blue,8,NA,NA,NA,2020,53.5,NA
202062,n,y,NA,NA,1,NA,NA,NA,5,15,2,2,70,NA,red,7,NA,NA,NA,2020,53.5,NA
202063,y,y,NA,NA,1,NA,NA,NA,7,NA,3,1,72,NA,red,4,NA,NA,NA,2020,53.5,NA
202064,y,NA,NA,NA,NA,NA,NA,NA,5,0,2,2,63,NA,yellow,9,NA,NA,NA,2020,53.5,NA
202065,n,n,NA,NA,1,NA,NA,NA,7,20,5,5,73,NA,blue,4,NA,NA,NA,2020,53.5,NA
202066,y,n,NA,NA,1,NA,NA,NA,5,25,4,5,NA,NA,NA,7,NA,NA,NA,2020,53.5,NA
202067,n,y,NA,NA,1,NA,NA,NA,7,40,4,4,68,NA,blue,6,NA,NA,NA,2020,53.5,NA
201901,y,y,6,NA,1,1,19,0.9,7,120,2,2,65,19.2,teal,6.8,81,NA,42,2019,52.5,NA
201902,y,y,7,NA,1,19,10,-0.31,7,20,1,1,72,27,blue,9,70,NA,53,2019,52.5,NA
201903,y,y,4,NA,1,0,10,1,7,20,3,2,62,17,purple,7,90,NA,45,2019,52.5,NA
201904,y,y,7,NA,1,16,10,-0.23,7,0,2,2,70,22,blue,6,74,NA,45,2019,52.5,NA
201905,y,y,6,NA,1,2,16,0.78,7,7,2,3,69,19.2,blue,8,69,NA,42,2019,52.5,NA
201906,y,y,7,NA,1,10,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2019,52.5,NA
201907,y,y,5,NA,1,1,13,0.86,6,25,2,3,66,20.5,green,6,84,NA,56,2019,52.5,NA
201908,n,n,6,NA,1,0,10,1,6,80,4,4,68,19,red,6,76,NA,50,2019,52.5,NA
201909,n,y,6,NA,1,0,17,1,7,16,2,3,70,23.7,green,7,74,NA,52,2019,52.5,NA
201910,n,y,4,NA,1,18,10,-0.29,7,12.5,2,3,68,19,blue,7,70,NA,42,2019,52.5,NA
201911,n,n,5,NA,1,5,13,0.44,7,1,2,3,71,21,blue,8.5,84,NA,43,2019,52.5,NA
201912,y,y,5,NA,1,1,13,0.86,7,25,3,4,71,23,blue,7,78,NA,52,2019,52.5,NA
201913,y,y,7,NA,2,1,19,0.9,7,20,3,3,69,19.2,red,7,74,NA,50,2019,52.5,NA
201914,y,y,4,NA,1,1,9,0.8,6,30,2,4,75,23,black,8,65,NA,50,2019,52.5,NA
201915,y,y,5,NA,1,0,20,1,6,100,3,2,63,21,blue,8,66,NA,45,2019,52.5,NA
201916,n,n,6,NA,1,0,16,1,6,3.5,4,3,71,19,red,12,110,NA,43,2019,52.5,NA
201917,y,y,5,NA,1,0,10,1,7,30,3,3,65,20,blue,6,104,NA,53,2019,52.5,NA
201918,y,n,4,NA,1,2,16,0.78,7,30,2,3,64,18,white,8,76,NA,42,2019,52.5,NA
201919,y,n,7,NA,1,2,18,0.8,7,20,2,3,69,18.5,blue,7,74,NA,50,2019,52.5,NA
201920,y,y,7,NA,1,0,10,1,7,15,2,4,68,19,green,9,63,NA,53,2019,52.5,NA
201921,n,y,5,NA,1,1,9,0.8,6,30,2,4,66,22.5,blue,8,62,NA,47,2019,52.5,NA
201922,y,y,5,NA,1,6,14,0.4,6,0,3,5,67,17,blue,6.5,68,NA,57,2019,52.5,NA
201923,n,y,3,NA,1,0,16,1,6,50,2,3,70,20,blue,8,75,NA,50,2019,52.5,NA
201924,n,y,6,NA,1,0,20,1,7,60,2,3,64,18,blue,7.5,70,NA,60,2019,52.5,NA
201925,n,y,5,NA,1,3,14,0.65,7,80,3,1,65,17,green,8.5,72,NA,46,2019,52.5,NA
201926,y,y,5,NA,1,1,15,0.88,7,20,3,3,77.5,21.5,green,6,90,NA,49,2019,52.5,NA
201927,y,y,5,NA,1,5,15,0.5,7,50,3,2,61,20.5,pink,6.5,94,NA,53,2019,52.5,NA
201928,y,y,5,NA,1,2,18,0.8,6,35,1,4,77,23,red,7,65,NA,51,2019,52.5,NA
201929,n,y,7,NA,1,0,10,1,7,29,3,2,71,23,purple,6,68,NA,47,2019,52.5,NA
201930,y,y,5,NA,1,1,16,0.88,7,80,4,4,63,17.5,purple,7,80,NA,21,2019,52.5,NA
201931,y,n,4,NA,2,3,17,0.7,7,25,1,1,70,22,green,7,104,NA,45,2019,52.5,NA
201932,y,n,6,NA,1,0,10,1,7,7,4,3,67,19.5,blue,8,70,NA,40,2019,52.5,NA
201933,y,y,5,NA,1,3,17,0.7,7,35,2,4,72,22,purple,7.5,82,NA,53,2019,52.5,NA
201934,n,y,6,NA,1,0,15,1,7,35,1,5,70,23,blue,8,68,NA,48,2019,52.5,NA
201935,y,y,6,NA,1,8,2,-0.6,7,25,2,2,64,22,green,6.5,48,NA,61,2019,52.5,NA
201936,y,y,5,NA,1,18,2,-0.8,5,70,4,4,63,18.9,purple,8,60,NA,55,2019,52.5,NA
201937,y,y,5,NA,1,0,18,1,7,16,2,1,68,21.8,blue,7,76,NA,50,2019,52.5,NA
201938,n,y,5,NA,1,0,17,1,7,0,3,2,62,17,gray,6.5,86,NA,55,2019,52.5,NA
201939,n,y,5,NA,1,0,16,1,7,60,3,2,68,20,teal,4,86,NA,54,2019,52.5,NA
201940,y,y,4,NA,1,4,16,0.6,5,35,4,4,68,18,blue,8,90,NA,57,2019,52.5,NA
201941,y,y,5,NA,1,3,17,0.7,7,70,3,3,68,22,red,7,70,NA,45,2019,52.5,NA
201942,n,y,6,NA,1,3,5,0.25,5,23,4,4,68,22,blue,5,71,NA,49,2019,52.5,NA
201943,y,y,4,NA,1,0,17,1,5,30,2,4,71,24,red,7,85,NA,56,2019,52.5,NA
201944,y,y,5,NA,1,1,18,0.89,6,15,2,3,66,21,blue,4,80,NA,49,2019,52.5,NA
201945,y,y,6,NA,2,5,13,0.44,7,80,1,1,68,21,purple,8,88,NA,42,2019,52.5,NA
201946,y,y,5,NA,1,4,14,0.56,7,18,1,3,68,21,purple,6.5,66,NA,45,2019,52.5,NA
201947,n,n,7,NA,1,0,10,1,7,60,3,4,65,21.5,green,5,60,NA,50,2019,52.5,NA
201948,y,y,6,NA,1,4,7,0.27,7,50,3,3,65,18,purple,6,96,NA,54,2019,52.5,NA
201949,n,y,5,NA,1,0,10,1,7,25,4,2,64,20,blue,7,70,NA,50,2019,52.5,NA
201950,n,n,6,NA,1,1,9,0.8,7,25,4,2,64,19,light blue,6.5,46,NA,55,2019,52.5,NA
201951,y,n,3,NA,1,0,20,1,7,8,2,4,69,22,blue,9,90,NA,45,2019,52.5,NA
201952,y,y,2,NA,1,2,13,0.73,6,30,2,3,67,21,purple,6,80,NA,47,2019,52.5,NA
201953,y,y,7,NA,1,2,13,0.73,7,25,3,2,65,9,red,7,74,NA,NA,2019,52.5,NA
201954,y,n,5,NA,1,0,18,1,7,20,2,2,57,17,pink,6,80,NA,55,2019,52.5,NA
201955,n,y,5,NA,1,5,15,0.5,7,15,3,1,71,21,blue,9,70,NA,49,2019,52.5,NA
201956,n,n,3,NA,1,0,12,1,6,27,2,4,72,21,blue,7,33,NA,45,2019,52.5,NA
201957,y,y,6,NA,1,0,10,1,6,12,4,2,63,16,pink,7,70,NA,47,2019,52.5,NA
201958,y,y,6,NA,1,15,5,-0.5,7,80,4,4,62,20.4,dark green,8,72,NA,53,2019,52.5,NA
201959,y,y,7,NA,1,0,20,1,7,80,3,4,66,18.5,light purple,7,78,NA,50,2019,52.5,NA
201960,n,y,6,NA,1,0,18,1,7,20,3,4,67,22,green,7,56,NA,21,2019,52.5,NA
201961,y,y,6,NA,1,0,10,1,6,120,2,4,70.5,21.2,purple,7,78,NA,55,2019,52.5,NA
201801,NA,n,5,NA,1,9,11,0.1,7,15,3,2,66,22.4,gray,5,82,m,45,2018,51.5,NA
201802,NA,y,6,NA,1,0,10,1,7,25,3,3,63,18,blue,4,64,f,50,2018,51.5,NA
201803,NA,y,7,NA,1,0,10,1,7,22,3,3,62,17,blue,7.5,68,f,45,2018,51.5,NA
201804,NA,y,6,NA,1,0,10,1,7,20,4,2,62,17,black,6,66,f,50,2018,51.5,NA
201805,NA,n,5,NA,1,2,18,0.8,7,0,3,2,64,19,pink,8,78,f,46,2018,51.5,NA
201806,NA,y,5,NA,1,0,20,1,5,20,3,4,63,18.5,blue,6,104,f,48,2018,51.5,NA
201807,NA,y,6,NA,1,14,3,-0.65,7,40,2,3,62,18.5,purple,7,70,f,50,2018,51.5,NA
201808,NA,y,4,NA,1,5,17,0.55,6,50,3,4,65,18.5,red,8,80,f,45,2018,51.5,NA
201809,NA,y,5,NA,1,4,6,0.2,6,20,2,4,73,23.5,blue,6,48,m,50,2018,51.5,NA
201810,NA,y,4,NA,1,1,10,0.82,6,30,2,4,65,15.5,blue,7,86,f,60,2018,51.5,NA
201811,NA,y,5,NA,1,18,11,-0.24,7,50,2,2,63,19,sky blue,6,70,f,55,2018,51.5,NA
201812,NA,y,6,NA,1,20,10,-0.33,7,120,1,2,68,23,blue,7,68,f,48,2018,51.5,NA
201813,NA,n,5,NA,1,20,10,-0.33,7,25,5,2,71,22,red,6,56,m,50,2018,51.5,NA
201814,NA,n,5,NA,3,0,20,1,6,0,2,4,69,19.5,blue,7,70,m,NA,2018,51.5,NA
201815,NA,y,5,NA,1,19,10,-0.31,6,50,2,3,66,19,green,7,68,f,46,2018,51.5,NA
201816,NA,y,5,NA,1,0,10,1,6,20,3,4,68,18,red,7,58,f,52,2018,51.5,NA
201817,NA,n,6,NA,1,0,10,1,5,20,3,5,70,17,navy,6,62,m,45,2018,51.5,NA
201818,NA,y,5,NA,1,3,11,0.57,7,20,2,2,65,21.1,green,4.5,56,m,52,2018,51.5,NA
201819,NA,y,5,NA,1,5,11,0.38,7,0,4,3,63,18.6,green,8.5,64,f,55,2018,51.5,NA
201820,NA,y,5,NA,1,0,10,1,7,0,4,3,63,19.5,purple,6,70,f,42,2018,51.5,NA
201821,NA,y,4,NA,1,9,2,-0.64,7,43,4,3,72,22.5,blue,8,52,m,43,2018,51.5,NA
201822,NA,y,6,NA,1,4,16,0.6,7,36,4,4,61,16.5,blue,7,72,f,51,2018,51.5,NA
201823,NA,y,5,NA,1,2,15,0.76,7,65,2,2,63,18,purple,6.5,76,f,52,2018,51.5,NA
201824,NA,y,6,NA,1,NA,NA,NA,6,100,3,3,63,20,red,6,60,f,34,2018,51.5,NA
201825,NA,y,6,NA,1,15,10,-0.2,7,15,2,1,68,22,green,7,66,m,51,2018,51.5,NA
201826,NA,y,6,NA,1,1,9,0.8,6,12,4,4,72,23.5,turquoise,6.5,64,m,25,2018,51.5,NA
201827,NA,y,6,NA,1,15,11,-0.15,7,110,3,3,63,20,green,5.5,80,f,55,2018,51.5,NA
201828,NA,y,5,NA,1,0,20,1,7,20,4,5,71,18,blue,7.5,66,m,48,2018,51.5,NA
201829,NA,n,3,NA,1,0,19,1,6,0,2,3,73,19,green,8.5,64,m,45,2018,51.5,NA
201830,NA,y,5,NA,1,0,14,1,7,12,2,3,68,20,red,6,100,m,45,2018,51.5,NA
201831,NA,y,6,NA,1,1,17,0.89,7,20,3,5,71,20,blue,8,98,m,50,2018,51.5,NA
201832,NA,y,5,NA,1,0,10,1,6,9,4,3,67,22,green,7.5,76,m,48,2018,51.5,NA
201833,NA,y,5,NA,1,0,10,1,5,10,3,4,60,19.8,red,8,78,f,50,2018,51.5,NA
201834,NA,y,6,NA,1,0,16,1,6,24,3,5,64,17,yellow,5,84,f,49,2018,51.5,NA
201835,NA,y,5,NA,1,0,14,1,7,30,4,4,60,19,orange,7,92,f,55,2018,51.5,NA
201836,NA,y,4,NA,1,1,17,0.89,6,30,4,5,68,20,blue,5.5,74,f,53,2018,51.5,NA
201837,NA,y,5,NA,1,17,3,-0.7,7,20,3,4,69,20.5,orange,6,80,f,55,2018,51.5,NA
201838,NA,y,7,NA,1,0,17,1,7,20,2,3,73,24,green,7,64,m,55,2018,51.5,NA
201839,NA,y,2,NA,1,0,17,1,7,18,2,2,68,22,blue,7.5,74,m,50,2018,51.5,NA
201840,NA,y,6,NA,1,3,9,0.5,7,25,5,3,70,22,yellow,8,74,m,50,2018,51.5,NA
201841,NA,y,4,NA,1,4,8,0.33,5,25,3,3,70,19,green,7,66,m,53,2018,51.5,NA
201842,NA,y,7,NA,1,2,18,0.8,7,20,4,4,68,21.7,green,6,95,m,52,2018,51.5,NA
201843,NA,y,2,NA,1,2,18,0.8,7,20,3,4,73,21,blue,7.5,92,m,54,2018,51.5,NA
201844,NA,y,6,NA,1,4,14,0.56,7,60,3,3,67,22,pink,8,62,f,50,2018,51.5,NA
201845,NA,y,5,NA,1,9,11,0.1,5,60,2,3,62,20,gray,8,74,f,53,2018,51.5,NA
201846,NA,n,7,NA,1,0,20,1,7,0,3,2,66,9,blue,8,80,m,30,2018,51.5,NA
201847,NA,n,5,NA,1,2,18,0.8,6,20,4,4,70,19,blue,7,54,f,35,2018,51.5,NA
201848,NA,y,5,NA,1,0,10,1,6,NA,3,5,63,18,blue,6.5,92,f,45,2018,51.5,NA
201849,NA,y,5,NA,1,0,10,1,7,20,2,4,70,21,orange,7.5,84,m,44,2018,51.5,NA
201850,NA,n,7,NA,1,1,19,0.9,7,15,4,3,63,9,blue,6,80,f,50,2018,51.5,NA
201851,NA,n,5,NA,1,6,14,0.4,5,10,4,4,64,8.5,NA,7,85,f,45,2018,51.5,NA
201701,NA,y,3,NA,1,15,3,-0.67,5,20,2,2,71,22,orange,8.5,75,m,52,2017,50.5,NA
201702,NA,y,5,NA,1,12,5,-0.41,5,0,3,4,63,18,gray,6.5,68,m,48,2017,50.5,NA
201703,NA,y,3,NA,1,0,20,1,7,20,3,1,65,20.5,pink,6,80,f,55,2017,50.5,NA
201704,NA,y,6,NA,1,14,3,-0.65,7,0,5,3,74,22,red,8,96,m,55,2017,50.5,NA
201705,NA,y,4,NA,1,1,18,0.89,7,21,1,3,67,20,purple,7,68,m,50,2017,50.5,NA
201706,NA,y,4,NA,1,3,14,0.65,5,12,1,3,71,18,blue,9,82,m,44,2017,50.5,NA
201707,NA,y,5,NA,1,2,13,0.73,6,22,3,2,67,19,purple,6,57,m,45,2017,50.5,NA
201708,NA,y,4,NA,1,0,20,1,7,0,5,5,70,21,blue,2,91,m,50,2017,50.5,NA
201709,NA,y,5,NA,1,4,7,0.27,7,20,2,1,69,23,blue,6,60,m,48,2017,50.5,NA
201710,NA,y,5,NA,1,2,10,0.67,7,14,3,1,66,20,green,6,54,f,55,2017,50.5,NA
201711,NA,y,3,NA,1,0,17,1,7,20,3,1,65,19.5,green,7,62,f,45,2017,50.5,NA
201712,NA,y,7,NA,2,0,20,1,7,20,3,1,69,20,green,8.5,80,m,54,2017,50.5,NA
201713,NA,y,5,NA,1,4,14,0.56,7,45,4,4,66,19,purple,7,64,f,52,2017,50.5,NA
201714,NA,y,6,NA,3,2,18,0.8,6,0,3,4,74,20.4,blue,8,70,m,45,2017,50.5,NA
201715,NA,y,7,NA,1,3,17,0.7,7,20,4,5,69,19.7,blue,6,74,f,45,2017,50.5,NA
201716,NA,y,3,NA,1,0,19,1,6,40,3,3,65.5,20,yellow,8,70,f,50,2017,50.5,NA
201717,NA,n,5,NA,1,0,18,1,7,14,4,3,66,19.5,blue,6,72,f,40,2017,50.5,NA
201718,NA,y,5,NA,1,3,14,0.65,7,12,2,3,67,19,blue,8,88,m,47,2017,50.5,NA
